table_name,news_date
tweetsprocessed2018_03_02_15,2018-3-2
tweetsprocessed2018_03_02_16,2018-3-2
tweetsprocessed2018_03_02_2,2018-3-2
tweetsprocessed2018_03_02_3,2018-3-2
tweetsprocessed2018_03_02_4,2018-3-2
tweetsprocessed2018_03_02_5,2018-3-2
tweetsprocessed2018_03_02_6,2018-3-2
tweetsprocessed2018_03_02_7,2018-3-2
tweetsprocessed2018_03_02_8,2018-3-2
tweetsprocessed2018_03_02_9,2018-3-2
tweetsprocessed2018_03_03_1,2018-3-3
tweetsprocessed2018_03_03_10,2018-3-3
tweetsprocessed2018_03_03_2,2018-3-3
tweetsprocessed2018_03_03_3,2018-3-3
tweetsprocessed2018_03_03_4,2018-3-3
tweetsprocessed2018_03_03_5,2018-3-3
tweetsprocessed2018_03_03_6,2018-3-3
tweetsprocessed2018_03_03_7,2018-3-3
tweetsprocessed2018_03_03_8,2018-3-3
tweetsprocessed2018_03_03_9,2018-3-3
tweetsprocessed2018_03_04_1,2018-3-4
tweetsprocessed2018_03_04_2,2018-3-4
tweetsprocessed2018_03_04_3,2018-3-4
tweetsprocessed2018_03_04_4,2018-3-4
tweetsprocessed2018_03_05_1,2018-3-5
tweetsprocessed2018_03_05_2,2018-3-5
tweetsprocessed2018_03_02_1,2018-3-2
tweetsprocessed2018_03_02_10,2018-3-2
tweetsprocessed2018_03_02_11,2018-3-2
tweetsprocessed2018_03_02_12,2018-3-2
tweetsprocessed2018_03_02_13,2018-3-2
tweetsprocessed2018_03_02_14,2018-3-2
tweetsprocessed2018_03_05_3,2018-3-5
tweetsprocessed2018_03_05_4,2018-3-5
tweetsprocessed2018_03_05_5,2018-3-5
tweetsprocessed2018_03_05_6,2018-3-5
tweetsprocessed2018_03_05_7,2018-3-5
tweetsprocessed2018_03_05_8,2018-3-5
tweetsprocessed2018_03_06_1,2018-3-6
tweetsprocessed2018_03_06_2,2018-3-6
tweetsprocessed2018_03_06_3,2018-3-6
tweetsprocessed2018_03_06_4,2018-3-6
tweetsprocessed2018_03_06_5,2018-3-6
tweetsprocessed2018_03_06_6,2018-3-6
tweetsprocessed2018_03_06_7,2018-3-6
tweetsprocessed2018_03_06_8,2018-3-6
tweetsprocessed2018_03_06_9,2018-3-6
tweetsprocessed2018_03_07_1,2018-3-7
tweetsprocessed2018_03_07_2,2018-3-7
tweetsprocessed2018_03_07_3,2018-3-7
tweetsprocessed2018_03_07_4,2018-3-7
tweetsprocessed2018_03_07_5,2018-3-7
tweetsprocessed2018_03_08_1,2018-3-8
tweetsprocessed2018_03_08_2,2018-3-8
tweetsprocessed2018_03_08_3,2018-3-8
tweetsprocessed2018_03_08_4,2018-3-8
tweetsprocessed2018_03_08_5,2018-3-8
tweetsprocessed2018_03_09_1,2018-3-9
tweetsprocessed2018_03_09_2,2018-3-9
tweetsprocessed2018_03_09_3,2018-3-9
tweetsprocessed2018_03_09_4,2018-3-9
tweetsprocessed2018_03_09_5,2018-3-9
tweetsprocessed2018_03_09_6,2018-3-9
tweetsprocessed2018_03_09_7,2018-3-9
tweetsprocessed2018_03_09_8,2018-3-9
tweetsprocessed2018_03_09_9,2018-3-9
